stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_gate_shortfall,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1a_broad,0,-1.4946787223816116,False,69,21,74.0,35.0,9,6,1.1,18,34,1.6,1.0,1.0,0.015,0.5,-0.09104491145000793,0.9170993896328687,-0.03793495459218215,1.396339662700624,2.0,1.0,1.0,50.0,100.67,109.77,-9.099999999999994,10.04,0.0,0.0,-1.137957224999991,0.0,-1.0420568136747304,1.7883168033303136,1.0,0.0,1.0,0.0,0.0,113.8,-113.8,4.94,0.0,0.0,2.9680723342896695,,,,,,,
1a_broad,1,0.214983836625758,True,147,19,60.0,24.0,9,9,2.6,11,21,1.4,1.4,1.0,0.015,0.5,5.985737594800012,1.148728995694164,0.6140243189181438,5.208307545004887,131.0,64.0,67.0,48.85496183206107,4623.37,4024.77,598.5999999999999,677.32,0.0,1.0,7.087266906199983,1.6098505382173,1.79649024542232,4.2617534554482095,51.0,27.0,24.0,52.94117647058823,1870.9199999999998,1162.17,708.7499999999998,258.84,0.0,0.0,,0.02126180071859995,0.15246263455432502,-0.0,0.04047619047619048,0.005985737594800013,0.007436449784708199,-0.012638976502865634
1a_broad,2,-1.058123206269616,False,58,12,66.0,40.0,9,12,2.8,4,34,0.7,1.2,1.0,0.015,0.5,1.7244146528000055,1.017375281704827,0.1709652813930018,11.705352703869936,432.0,208.0,224.0,48.148148148148145,10098.64,9926.169999999998,172.47000000000116,2106.34,0.0,1.0,-7.711257666799902,0.764792006002818,-1.678328802485452,10.677274269814113,145.0,66.0,79.0,45.51724137931034,2507.3399999999997,3278.460000000001,-771.1200000000013,707.73,0.0,0.0,0.34873923761769615,,,,,,,
1a_broad,3,-1.3481206636941399,False,144,21,76.0,27.0,8,15,2.3,6,30,0.5,3.8000000000000003,1.0,0.015,0.5,-3.697272380200011,0.7522415664830523,-0.5733382250899275,5.820574393828694,38.0,7.0,31.0,18.42105263157895,1122.5399999999997,1492.2600000000002,-369.7200000000005,182.69,0.0,1.0,-2.581483039600007,0.3906238934919623,-0.873086976068146,4.989118773989163,9.0,1.0,8.0,11.11111111111111,165.48,423.63,-258.15,44.63,0.0,0.0,2.0887239821648387,,,,,,,
1a_broad,4,-1.0659338539399823,False,53,16,63.0,33.0,15,7,4.0,17,48,1.9000000000000001,2.8,1.0,0.015,0.5,16.27988567629991,1.16219641350232,0.7662642690947579,12.103058377236374,147.0,49.0,98.0,33.333333333333336,11665.07,10037.09,1627.9799999999996,787.72,0.0,1.0,-11.593212844200025,0.756345455042212,-1.1361557215578468,17.341414416422644,80.0,20.0,60.0,25.0,3598.79,4758.13,-1159.3400000000001,363.26,0.0,1.0,0.39560312363989364,,,,,,,
1a_broad,5,-1.4848186253195996,False,140,8,60.0,21.0,11,10,1.8,18,24,0.9,2.6,1.0,0.015,0.5,-1.6906616784999824,0.442763439796961,-0.6993420534739866,3.0061098736337373,9.0,3.0,6.0,33.333333333333336,134.32999999999998,303.39,-169.06,44.57,0.0,0.0,-0.765139363599992,0.0,-1.493511994704469,0.8898240698653674,1.0,0.0,1.0,0.0,0.0,76.51,-76.51,4.96,0.0,0.0,2.908911751917598,,,,,,,
1a_broad,6,-2.0,False,38,19,56.0,45.0,18,7,1.0,17,38,1.6,3.3000000000000003,1.0,0.015,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
1a_broad,7,-2.0,False,29,12,58.0,42.0,16,9,1.1,9,23,1.6,2.9000000000000004,1.0,0.015,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
1a_broad,8,-1.039662136242418,False,136,14,58.0,38.0,18,13,3.3000000000000003,12,31,1.1,1.0,1.0,0.015,0.5,-1.7275308915999994,0.9411892907980136,-0.21922847389351685,6.275513553952881,140.0,79.0,61.0,56.42857142857143,2763.8399999999992,2936.5400000000004,-172.70000000000118,681.1,0.0,0.0,-1.7688278869500025,0.8368403088475411,-0.587154157698164,4.346816581160496,54.0,27.0,27.0,50.0,907.16,1084.03,-176.87,265.46,0.0,0.0,0.2379728174545085,,,,,,,
1a_broad,9,-2.0,False,34,7,71.0,28.0,14,19,1.7000000000000002,10,40,0.8,1.2,1.0,0.015,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
1a_broad,10,-1.0196750944378337,False,104,17,80.0,20.0,21,4,3.9000000000000004,14,12,1.2000000000000002,2.0,1.0,0.015,0.5,-11.805056662700153,0.9197291372590617,-0.42996465764371256,16.80508164841,302.0,104.0,198.0,34.437086092715234,13526.529999999999,14707.079999999998,-1180.5499999999993,1389.74,0.0,3.0,4.376110679150024,1.0720005923537006,0.5107646894238936,11.859897500916428,126.0,46.0,80.0,36.507936507936506,6515.029999999999,6077.450000000001,437.5799999999981,617.24,0.0,0.0,0.11805056662700153,,,,,,,
1a_broad,11,-1.0085943026085833,False,106,17,80.0,20.0,21,4,4.0,14,10,1.2000000000000002,1.9,1.0,0.015,0.5,-5.15658156514999,0.9648648851262891,-0.13596738007232578,14.301529158797177,312.0,113.0,199.0,36.217948717948715,14157.529999999999,14673.07,-515.5400000000009,1457.17,0.0,3.0,3.557832287350011,1.0565102681684395,0.4378820788320502,11.147712027182363,130.0,50.0,80.0,38.46153846153846,6651.44,6295.67,355.7699999999995,640.51,0.0,0.0,0.0515658156514999,,,,,,,
1a_broad,12,-1.002040638648167,False,109,18,69.0,25.0,21,4,3.0,14,10,1.3,1.9,1.0,0.015,0.5,-1.2243831889002286,0.9908379197384103,0.02498438832737962,12.262243814891367,279.0,104.0,175.0,37.27598566308244,13235.93,13358.32,-122.38999999999942,1364.79,0.0,3.0,5.872411070899907,1.1105821381222127,0.712551314724673,12.219322995608016,119.0,46.0,73.0,38.65546218487395,5897.279999999999,5310.08,587.1999999999989,591.77,0.0,0.0,0.012243831889002285,,,,,,,
1a_broad,13,-1.0254471031451666,False,115,19,67.0,26.0,12,10,3.0,14,17,1.4,1.8,1.0,0.015,0.5,-15.268261887100016,0.8371939529517639,-0.8987275411643303,19.897586629583664,217.0,79.0,138.0,36.40552995391705,7851.589999999999,9378.46,-1526.87,1013.63,0.0,3.0,7.621735348950061,1.2373471427726208,1.2338033374213349,5.594070692033079,89.0,39.0,50.0,43.82022471910113,3973.53,3211.33,762.2000000000003,459.66,0.0,0.0,0.15268261887100015,,,,,,,
1a_broad,14,-1.2718823849749072,False,86,19,69.0,24.0,7,17,2.5,9,21,2.0,1.6,1.0,0.015,0.5,-4.6260296244000525,0.5646638121676941,-0.9099692418363186,6.710966823960615,22.0,7.0,15.0,31.818181818181817,600.0400000000001,1062.6499999999999,-462.6099999999998,103.37,0.0,0.0,3.011697277500007,2.583938150836226,1.279186521511861,1.370695196515547,8.0,5.0,3.0,62.5,491.31,190.14,301.17,40.65,0.0,0.0,1.6312943098494428,,,,,,,
